SN,Total_Feedback_Given,Total_Configured,Questions,Weightage_1,Weightage_2,Weightage_3,Weightage_4,Weightage_5,Average/_Percentage,Course_Name,Basic_Course,Weighted_Average,Average_Percentage,Derived_Sentiment,Synthetic_Feedback,TextBlob_Sentiment,VADER_Sentiment
1,1,12,How much of the syllabus was covered in the class?,0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
2,1,12,How well did the teachers prepare for the classes?,0,0,0,0,1,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,1,12,How well were the teachers able to communicate?,0,0,0,0,1,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,1,12,The teachers approach to teaching can best be described as,0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
5,1,12,Fairness of the internal evaluation process by the teachers.,0,0,0,1,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,1,12,Was your performance in assignments discussed with you?,0,0,0,1,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,1,12,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
8,1,12,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0,40.0,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
9,1,12,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
10,1,12,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
